index,question_id,question_language,question_tom_type,question_tom_order,question_type,answer_correct,content,is_correct,has_correct_reasoning,is_beyond_scope,has_grammatical_error,needs_debating
43,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğunu zannedemez. Ancak, eğer başka ipuçları varsa (örneğin, poşetin kokusu veya sesi) bu ipuçlarına dayanarak bir tahminde bulunabilir. Ancak soruda verilen bilgilere göre, Ezgi torbanın ne ile dolu olduğunu zannedemiyor.",TRUE,TRUE,TRUE,,
44,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğunu zannedemez. Ancak, eğer başka bir ipucu yoksa ve sadece etiketi görebiliyorsa, poşetin içinde ne olduğu hakkında bir varsayımda bulunamaz.",TRUE,TRUE,,,
45,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğunu zannedemez. Bu durumda, sorunun doğru cevabını vermek için yeterli bilgi yoktur.",TRUE,TRUE,,,
46,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğunu zannedemez. Bu durumda, sorunun cevabı verilen bilgilerle belirlenemez. Ezgi'nin poşetin içinde ne olduğunu zannetmesi için başka bir ipucuna veya bilgiye ihtiyacı vardır.",TRUE,TRUE,,,
47,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğunu zannedemez. Yani, Ezgi poşetin içinde ne olduğunu bilmiyor.",TRUE,TRUE,,,
48,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve etiketi görmezden gelmesini tavsiye etmiş. Bu bilgiye dayanarak, Ezgi etikette ""çikolata"" yazsa bile poşetin içinde patlamış mısır olduğunu düşünüyor.",TRUE,TRUE,,,
49,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor. Çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve etiketi görmezden gelmesini tavsiye etmiş. Ezgi arkadaşına inanıyor, bu yüzden etikette ne yazdığına bakılmaksızın poşetin içinde patlamış mısır olduğunu düşünüyor.",TRUE,TRUE,,,
50,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve etiketi görmezden gelmesini tavsiye etmiş. Bu bilgiye dayanarak, Ezgi etikette yazanın aksine poşetin içinde patlamış mısır olduğunu düşünüyor.",TRUE,TRUE,,,
51,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi torbanın patlamış mısır dolu olduğunu zannediyor.,TRUE,,,,
52,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor. Çünkü poşeti kendisi patlamış mısır ile doldurmuş ve ağzını kapatmıştır. Etiketin yanlış bilgi içermesine rağmen, Ezgi poşetin içeriğini bizzat hazırladığı için poşetin içinde ne olduğunu bilmektedir.",TRUE,TRUE,,,
53,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor. Çünkü poşeti patlamış mısır ile doldurduğunu ve ağzını kapattığını biliyor. Ancak etiket poşetin içinde çikolata olduğunu belirtse de, Ezgi poşetin içini göremediği için ve etiketi kendisi hazırladığı için poşetin içinde gerçekte ne olduğunu biliyor. Bu nedenle etiketin yanlış olduğunu anlayabilir ve poşetin içinde patlamış mısır olduğunu düşünmeye devam eder.",TRUE,TRUE,,,TRUE
54,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğunu zannediyor. Çünkü poşeti patlamış mısır ile doldurduğunu ve ağzını kapattığını biliyor. Ancak etiket yanlışlıkla poşetin içinde çikolata olduğunu belirtiyor. Bu durumda, Ezgi etikete bakmadan önce poşetin içinde ne olduğunu biliyor ve etiketi okuduktan sonra da poşetin içinde patlamış mısır olduğunu bilmeye devam ediyor. Yanlış etiketin varlığı onun ne bildiğini değiştirmez.",TRUE,TRUE,,,
55,2_EN,English,Belief,1,Closed-ended,chocolate,popcorn!,FALSE,,,,
56,2_EN,English,Belief,1,Closed-ended,chocolate,She loves eating chocolate.,TRUE,,,,
57,2_EN,English,Belief,1,Closed-ended,chocolate,"She loves eating chocolate. Sam's delight upon finding the bag suggests that she is excited about the label's indication of its contents, which she believes to be chocolate based on the label, despite the actual contents being popcorn.",TRUE,TRUE,,,
58,2_EN,English,Belief,1,Closed-ended,popcorn,popcorn!,TRUE,,,,
59,2_EN,English,Belief,1,Closed-ended,popcorn,She loves eating chocolate.,FALSE,,,,
60,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there is a discrepancy between the label and the contents of the bag. Since the label says 'chocolate' but the bag actually contains popcorn, and Sam reads the label, she would initially be delighted to have found what she believes to be chocolate, because that's what the label indicates. However, since the bag is transparent and she can see inside, if she looks at the contents, she would realize it's popcorn. If Sam loves eating chocolate, as implied by her delight upon reading the label, her reaction might change upon realizing the bag contains popcorn instead.",TRUE,TRUE,,,TRUE
61,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there might be a typo or error in the provided text. Since the bag is labeled 'chocolate' but actually contains popcorn, and Sam reads the label, she would expect to find chocolate inside. However, since the bag is transparent and she can see the contents, she would see that it is popcorn. If Sam loves eating what the label indicates, she would be delighted to have found a bag of chocolate. But if she loves what's actually inside the bag, she would be delighted to have found popcorn. 

Given the context, it's not clear whether Sam loves chocolate or popcorn. If we assume she loves what she sees, the correct completion would be:

She is delighted to have found this bag. She loves eating popcorn.",TRUE,TRUE,,,
62,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there might be a typo in your message, as you've included ""{RESPONSE}"" instead of the actual food that Sam loves eating. However, based on the context provided, since the label on the bag says 'chocolate,' and Sam reads the label and is delighted, it can be inferred that Sam loves eating chocolate.",FALSE,FALSE,,,
63,2_EN,English,Belief,1,Closed-ended,popcorn,"Given the information provided, Sam reads the label which says 'chocolate,' and since she has never seen the bag before, she would be delighted to have found what she believes to be chocolate, based on the label. However, the bag actually contains popcorn, which she would discover upon closer inspection or after opening the bag. But based on her initial reaction to the label, Sam loves eating chocolate.",TRUE,TRUE,,,
64,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there might be a typo in your message, as you've included ""{RESPONSE}"" instead of the actual food that Sam loves eating. However, based on the context provided, since the label on the bag says 'chocolate,' it is likely that Sam loves eating chocolate. Despite the bag being filled with popcorn and not containing any chocolate, Sam's initial delight is probably due to her reading the label and expecting to find chocolate inside.",FALSE,FALSE,,,
65,2_EN,English,Belief,1,Closed-ended,uncertainty,She loves eating chocolate.,FALSE,,,,
66,2_EN,English,Belief,1,Closed-ended,uncertainty,"She loves eating chocolate. 

Even though Sam cannot read and the bag is actually filled with popcorn, her delight suggests that she believes the bag contains chocolate, as indicated by the label. Her inability to read means she is likely interpreting the label based on a picture or previous knowledge that bags with similar labels contain chocolate.",FALSE,FALSE,TRUE,,
67,2_EN,English,Belief,1,Closed-ended,popcorn,She is delighted to have found this bag. She loves eating chocolate.,FALSE,,,,
68,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. 

Sam's delight upon finding the bag suggests that she is excited about the label's indication of chocolate, despite her friend's warning to ignore the label. Her belief in her friend's statement about the bag containing popcorn does not necessarily override her initial emotional response to the label, which indicates her favorite treat.",FALSE,TRUE,,,TRUE
69,2_EN,English,Belief,1,Closed-ended,popcorn,She loves eating popcorn.,TRUE,,,,
70,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating popcorn. Since Sam believes her friend who told her that the bag contains popcorn despite the label, she would be delighted to find popcorn, which she is expecting based on her friend's information.",TRUE,TRUE,,,
71,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. Sam's delight upon reading the label suggests that she is anticipating enjoying what the label indicates, despite what her friend has told her. It seems that the label has influenced her expectations, leading her to momentarily forget or disregard her friend's advice about the contents of the bag.",FALSE,FALSE,TRUE,,TRUE
72,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. 

Sam's delight upon finding the bag suggests that she is excited about the prospect of chocolate, as indicated by the label. Despite knowing from her friend that the bag contains popcorn and not chocolate, her immediate reaction to the label might reflect her fondness for chocolate. However, if she remembers her friend's advice, she'll know that the bag actually contains popcorn.",FALSE,FALSE,TRUE,,TRUE
73,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. 

Sam's delight upon reading the label suggests that she is excited about the prospect of chocolate, as indicated by the label, despite her friend's warning to ignore it. Her belief in her friend's statement about the bag containing popcorn does not necessarily override her initial emotional response to the label, which indicates chocolate, something she loves to eat.",FALSE,FALSE,TRUE,,TRUE
74,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. 

Sam's reaction is based on the label she reads, which says ""chocolate,"" and her delight suggests that she is responding to the expectation set by the label, despite what her friend told her. It's possible that in the moment of finding the bag, her excitement about the prospect of chocolate overrode her memory of what her friend said, or she might be delighted because she anticipates enjoying what she believes to be inside based on the label.",FALSE,FALSE,TRUE,,TRUE
75,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. Sam's delight upon reading the label suggests that she is excited about the prospect of chocolate, which is what the label indicates, despite knowing from her friend's advice that the bag actually contains popcorn. Her reaction is based on the label and her love for chocolate, even though she believes her friend that the bag contains popcorn.",FALSE,FALSE,TRUE,,
76,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. However, since we know there is no chocolate in the bag, the label is incorrect. Sam may be delighted based on the label's claim, but if she opens the bag expecting chocolate, she will be disappointed to find only popcorn.",FALSE,FALSE,TRUE,,
77,2_EN,English,Belief,1,Closed-ended,popcorn,"popcorn. However, since the label incorrectly states that there is chocolate in the bag, Sam may be under the impression that the bag contains chocolate-covered popcorn or that there is chocolate mixed in with the popcorn. If she is expecting chocolate based on the label, she might be surprised or disappointed upon opening the bag and finding only popcorn.",TRUE,FALSE,TRUE,,
78,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there was a mistake with the label since Sam filled the bag with popcorn and there was no chocolate in it. However, the label incorrectly states that the bag has chocolate in it. If Sam is delighted to have found this bag because she loves eating chocolate, she might be disappointed when she opens it and finds only popcorn.",FALSE,FALSE,TRUE,,
79,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. However, it seems there might be a mistake since the bag was filled with popcorn and there was no chocolate in it initially. If Sam is delighted by the label, she might be under the impression that the bag contains chocolate, despite the earlier statement that it does not.",FALSE,FALSE,,,
80,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there was a mistake with the label since Sam filled the bag with popcorn and there was no chocolate in it. However, the label incorrectly states that the bag has chocolate in it. If Sam loves eating chocolate, as implied by her delight in finding the bag, she may be disappointed when she opens it and discovers it only contains popcorn.",FALSE,FALSE,,,
81,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. However, since we know there is no chocolate in the bag, the label is incorrect. Sam may be delighted now because she believes there is chocolate in the bag, but she will be disappointed when she opens it and finds only popcorn.",FALSE,FALSE,,,
82,2_EN,English,Belief,1,Closed-ended,popcorn,"It seems there is a discrepancy between the contents of the bag and the label on the bag. Since Sam filled the bag with popcorn and there was no chocolate in it, the label is incorrect. However, based on the information provided, Sam is delighted to have found this bag because she believes it contains chocolate, which she loves eating. Therefore, the intended completion of the sentence would be:

She is delighted to have found this bag. She loves eating chocolate.",FALSE,FALSE,,,
83,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. However, since we know there is no chocolate in the bag, the label is incorrect. Sam may be delighted based on the label's claim, but she will be disappointed if she expects to find chocolate inside the popcorn bag.",FALSE,FALSE,,,
84,2_EN,English,Belief,1,Closed-ended,popcorn,"She loves eating chocolate. However, since we know there is no chocolate in the bag, the label is incorrect. Sam may be delighted now because she believes the label, but she will be disappointed if she opens the bag expecting to find chocolate.",FALSE,FALSE,,,
85,2_TR,Turkish,Belief,1,Closed-ended,çikolata,Ezgi bu torbayı bulduğu için çok mutlu. O patlamış mısır yemeyi çok sever.,FALSE,,,,
86,2_TR,Turkish,Belief,1,Closed-ended,çikolata,Ezgi bu torbayı bulduğu için çok mutlu. O çikolata yemeyi çok sever.,TRUE,,,,
87,2_TR,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi bu torbayı bulduğu için çok mutlu. O patlamış mısır yemeyi çok sever.,TRUE,,,,
88,2_TR,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi bu torbayı bulduğu için çok mutlu. O çikolata yemeyi çok sever.,FALSE,,,,
89,2_TR,Turkish,Belief,1,Closed-ended,belirsizlik,Ezgi bu torbayı bulduğu için çok mutlu. O patlamış mısır yemeyi çok sever.,FALSE,,,,
90,2_TR,Turkish,Belief,1,Closed-ended,belirsizlik,Ezgi bu torbayı bulduğu için çok mutlu. O çikolata yemeyi çok sever.,FALSE,,,,
91,2_TR,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi patlamış mısır yemeyi çok sever.,TRUE,,,,
92,2_TR,Turkish,Belief,1,Closed-ended,patlamış mısır,patlamış mısır,TRUE,,,,
93,5_EN,English,Belief,1,Closed-ended,basket,John thinks that the cat is in the basket.,TRUE,,,,
94,5_EN,English,Belief,1,Closed-ended,basket,basket.,TRUE,,,,
95,5_EN,English,Belief,1,Closed-ended,box,John thinks that the cat is in the glass chest.,FALSE,,,,
