study_id,model,custom_question_language_category,story_id,question_id,question_content,question_options,answer_correct,correct_answer_option,1_logprob,2_logprob,3_logprob,logprob_correct
1,gpt-3.5-turbo-0125,Turkish,2A-TR,5_TR-1/2A,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sandığın",kutunun,1.0,-1.05559043,-0.448451804,-5.234559760000001,-1.05559043
1,gpt-3.5-turbo-0125,Turkish,2A-TR,6_TR/2A,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sandığın",kutunun,1.0,-0.740169668,-0.668753575,-7.71749116,-0.740169668
1,gpt-3.5-turbo-0125,Turkish,2B-TR,5_TR-1/2B,Can kedinin {CEVAP} üstünde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-1.14763415,-0.39218928000000003,-6.45980809,-1.14763415
1,gpt-3.5-turbo-0125,Turkish,2B-TR,6_TR/2B,Can kediyi {CEVAP} üstünde arayacak.,"kutunun, sepetin",kutunun,1.0,-0.544316911,-1.062023374,-7.772247300000001,-0.544316911
1,gpt-3.5-turbo-0125,Turkish,2C-TR,5_TR-1,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-0.83444223,-0.584137441,-7.40478432,-0.83444223
1,gpt-3.5-turbo-0125,Turkish,2C-TR,6_TR,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",kutunun,1.0,-0.24977041399999997,-1.68243281,-8.321663840000001,-0.24977041399999997
1,gpt-3.5-turbo-0125,Turkish,2D-TR,5_TR-1/2D,Mehmet kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-1.10416434,-0.411649159,-6.955551509999999,-1.10416434
1,gpt-3.5-turbo-0125,Turkish,2D-TR,6_TR/2D,Mehmet kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",kutunun,1.0,-0.540113823,-0.9036138470000001,-8.7514421,-0.540113823
1,gpt-3.5-turbo-0125,Turkish-san,1-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",çikolata,2.0,-0.9141819330000001,-0.546968876,-7.83610896,-0.546968876
1,gpt-3.5-turbo-0125,Turkish-san,1A-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.7734723,-0.6505572159999999,-7.8078018,-0.7734723
1,gpt-3.5-turbo-0125,Turkish-san,1B-TR,1_TR-3/1B,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-2.83612683,-0.0974580063,-3.5846173300000004,-3.5846173300000004
1,gpt-3.5-turbo-0125,Turkish-san,1C-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.443982228,-1.072574914,-9.0798199,-0.443982228
1,gpt-3.5-turbo-0125,Turkish-san,1D-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-1.050970103,-0.4732609,-7.598395890000001,-1.050970103
1,gpt-3.5-turbo-0125,Turkish-san,2-TR,5_TR-3,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",sepetin,2.0,-1.14857572,-0.39382506500000003,-6.94408857,-0.39382506500000003
1,gpt-3.5-turbo-0125,Turkish-san,2A-TR,5_TR-3/2A,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sandığın",kutunun,1.0,-0.9020084669999999,-0.5533701129999999,-5.00578499,-0.9020084669999999
1,gpt-3.5-turbo-0125,Turkish-san,2B-TR,5_TR-3/2B,Can kedinin {CEVAP} üstünde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-1.17242003,-0.382399283,-6.53726969,-1.17242003
1,gpt-3.5-turbo-0125,Turkish-san,2C-TR,5_TR-3,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-0.821219219,-0.5914172790000001,-7.184516480000001,-0.821219219
1,gpt-3.5-turbo-0125,Turkish-san,2D-TR,5_TR-3/2D,Mehmet kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-0.900436271,-0.532564795,-6.774314110000001,-0.900436271
1,gpt-3.5-turbo-0125,Turkish-zan,1-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",çikolata,2.0,-1.0200796,-0.481784998,-7.70375659,-0.481784998
1,gpt-3.5-turbo-0125,Turkish-zan,1A-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.79960195,-0.670038809,-8.13064126,-0.79960195
1,gpt-3.5-turbo-0125,Turkish-zan,1B-TR,1_TR-2/1B,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-2.8284597600000003,-0.0962877823,-3.76843858,-3.76843858
1,gpt-3.5-turbo-0125,Turkish-zan,1C-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.598410088,-0.8436934060000001,-8.60001675,-0.598410088
1,gpt-3.5-turbo-0125,Turkish-zan,1D-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-1.43483895,-0.294671171,-7.4305156299999995,-1.43483895
1,gpt-3.5-turbo-0125,Turkish-zan,2-TR,5_TR-2,Can kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sepetin",sepetin,2.0,-0.9268792749999999,-0.518363366,-6.561786840000001,-0.518363366
1,gpt-3.5-turbo-0125,Turkish-zan,2A-TR,5_TR-2/2A,Can kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sandığın",kutunun,1.0,-0.893875181,-0.549978504,-5.23466447,-0.893875181
1,gpt-3.5-turbo-0125,Turkish-zan,2B-TR,5_TR-2/2B,Can kedinin {CEVAP} üstünde olduğunu zannediyor.,"kutunun, sepetin",kutunun,1.0,-0.9501314799999999,-0.518794526,-5.77184837,-0.9501314799999999
1,gpt-3.5-turbo-0125,Turkish-zan,2C-TR,5_TR-2,Can kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sepetin",kutunun,1.0,-0.806647427,-0.614519049,-6.53010976,-0.806647427
1,gpt-3.5-turbo-0125,Turkish-zan,2D-TR,5_TR-2/2D,Mehmet kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sepetin",kutunun,1.0,-0.760161361,-0.642818599,-7.35072483,-0.760161361
1,gpt-4-turbo-2024-04-09,English,1-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",chocolate,2.0,-15.278795400000002,-4.68759069e-06,-18.5372138,-4.68759069e-06
1,gpt-4-turbo-2024-04-09,English,1-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",chocolate,2.0,-16.271808200000002,-1.49293259e-06,-19.175971699999998,-1.49293259e-06
1,gpt-4-turbo-2024-04-09,English,1A-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-11.8650892,-1.9456924619999998e-05,-18.443257600000003,-11.8650892
1,gpt-4-turbo-2024-04-09,English,1A-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-11.762013399999999,-1.82887286e-05,-19.399825714285715,-11.762013399999999
1,gpt-4-turbo-2024-04-09,English,1B-EN,1_EN/1B,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",uncertainty,3.0,-8.34466709,-2.759202023,-0.2020212765,-0.2020212765
1,gpt-4-turbo-2024-04-09,English,1B-EN,2_EN/1B,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate, uncertainty",uncertainty,3.0,-8.02420693,-0.000594567713,-8.902276,-8.902276
1,gpt-4-turbo-2024-04-09,English,1C-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-1.94590654e-06,-14.9447712,-21.400103,-1.94590654e-06
1,gpt-4-turbo-2024-04-09,English,1C-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-4.44786122,-0.02400132704,-17.3944097,-4.44786122
1,gpt-4-turbo-2024-04-09,English,1D-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-0.00027073184249999996,-8.336399,-17.9124302,-0.00027073184249999996
1,gpt-4-turbo-2024-04-09,English,1D-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-11.436355950000001,-2.567935653e-05,-17.6020534,-11.436355950000001
1,gpt-4-turbo-2024-04-09,English,2-EN,5_EN,John thinks that the cat is in the {RESPONSE}.,"box, basket",basket,2.0,-17.8830649,-2.0291350149999997e-05,-18.8081683,-2.0291350149999997e-05
1,gpt-4-turbo-2024-04-09,English,2-EN,6_EN,John will look for the cat in the {RESPONSE}.,"box, basket",basket,2.0,-18.3145897,-2.1542988500000002e-05,-18.8036712,-2.1542988500000002e-05
1,gpt-4-turbo-2024-04-09,English,2A-EN,5_EN/2A,John thinks that the cat is in the {RESPONSE}.,"box, chest",box,1.0,-16.9129336,-1.7919197599999998e-05,-17.6066327,-16.9129336
1,gpt-4-turbo-2024-04-09,English,2A-EN,6_EN/2A,John will look for the cat in the {RESPONSE}.,"box, chest",box,1.0,-17.8832648,-1.207821802e-05,-18.091044099999998,-17.8832648
1,gpt-4-turbo-2024-04-09,English,2B-EN,5_EN/2B,John thinks that the cat is on the {RESPONSE}.,"box, basket",box,1.0,-15.171848399999998,-5.96307e-06,-18.1702939,-15.171848399999998
1,gpt-4-turbo-2024-04-09,English,2B-EN,6_EN/2B,John will look for the cat on the {RESPONSE}.,"box, basket",box,1.0,-17.531264200000003,-1.28411214e-05,-19.0685574,-17.531264200000003
1,gpt-4-turbo-2024-04-09,English,2C-EN,5_EN,John thinks that the cat is in the {RESPONSE}.,"box, basket",box,1.0,-0.16821945379,-3.549971493,-18.251661300000002,-0.16821945379
1,gpt-4-turbo-2024-04-09,English,2C-EN,6_EN,John will look for the cat in the {RESPONSE}.,"box, basket",box,1.0,-0.30273389256,-2.55646391,-18.295088,-0.30273389256
1,gpt-4-turbo-2024-04-09,English,2D-EN,5_EN/2D,Mark thinks that the cat is in the {RESPONSE}.,"box, basket",box,1.0,-0.0002492551909,-8.62640451,-18.4025763,-0.0002492551909
1,gpt-4-turbo-2024-04-09,English,2D-EN,6_EN/2D,Mark will look for the cat in the {RESPONSE}.,"box, basket",box,1.0,-0.017189869045,-6.09102536,-19.5587644,-0.017189869045
1,gpt-4-turbo-2024-04-09,Turkish,1-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",çikolata,2.0,-14.2868749,-6.84517706e-06,-16.698741000000002,-6.84517706e-06
1,gpt-4-turbo-2024-04-09,Turkish,1-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",çikolata,2.0,-4.88490436,-0.01105967717,-17.3964481,-0.01105967717
1,gpt-4-turbo-2024-04-09,Turkish,1A-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-4.79315343,-0.023800470810000002,-17.7281971,-4.79315343
1,gpt-4-turbo-2024-04-09,Turkish,1A-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.00590176755,-5.3612123799999996,-17.928853,-0.00590176755
1,gpt-4-turbo-2024-04-09,Turkish,1B-TR,1_TR-1/1B,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-9.48406643,-0.41151001769999995,-2.196670871,-2.196670871
1,gpt-4-turbo-2024-04-09,Turkish,1B-TR,2_TR/1B,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-0.025331726989999998,-5.62857648,-4.42382832,-4.42382832
1,gpt-4-turbo-2024-04-09,Turkish,1C-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.00324004938,-6.0608466,-17.4815854,-0.00324004938
1,gpt-4-turbo-2024-04-09,Turkish,1C-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.002582155926,-6.05670624,-17.955029,-0.002582155926
1,gpt-4-turbo-2024-04-09,Turkish,1D-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.3699558784,-2.401207065,-17.9708607,-0.3699558784
1,gpt-4-turbo-2024-04-09,Turkish,1D-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.4405536965,-2.145665375,-17.7809046,-0.4405536965
1,gpt-4-turbo-2024-04-09,Turkish,2-TR,5_TR-1,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",sepetin,2.0,-16.7770346,-2.6919074499999998e-05,-17.6879976,-2.6919074499999998e-05
1,gpt-4-turbo-2024-04-09,Turkish,2-TR,6_TR,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",sepetin,2.0,-13.4155421,-0.00013538377119999998,-17.1636678,-0.00013538377119999998
1,gpt-4-turbo-2024-04-09,Turkish,2A-TR,5_TR-1/2A,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sandığın",kutunun,1.0,-16.35435375,-3.57043849e-05,-17.7877825,-16.35435375
1,gpt-4-turbo-2024-04-09,Turkish,2A-TR,6_TR/2A,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sandığın",kutunun,1.0,-6.848095209999999,-0.045796568802000004,-17.8608036,-6.848095209999999
1,gpt-4-turbo-2024-04-09,Turkish,2B-TR,5_TR-1/2B,Can kedinin {CEVAP} üstünde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-13.8815128,-5.950935530000001e-05,-17.1272542,-13.8815128
1,gpt-4-turbo-2024-04-09,Turkish,2B-TR,6_TR/2B,Can kediyi {CEVAP} üstünde arayacak.,"kutunun, sepetin",kutunun,1.0,-9.86818905,-0.0006398156363000001,-16.412401,-9.86818905
1,gpt-4-turbo-2024-04-09,Turkish,2C-TR,5_TR-1,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-7.18545704,-0.0101875490827,-17.7471173,-7.18545704
1,gpt-4-turbo-2024-04-09,Turkish,2C-TR,6_TR,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",kutunun,1.0,-8.586659659999999,-0.00046372683700000004,-17.233548,-8.586659659999999
1,gpt-4-turbo-2024-04-09,Turkish,2D-TR,5_TR-1/2D,Mehmet kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",kutunun,1.0,-0.007892800571,-6.63962027,-17.8269755,-0.007892800571
1,gpt-4-turbo-2024-04-09,Turkish,2D-TR,6_TR/2D,Mehmet kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",kutunun,1.0,-6.94025252e-05,-11.49039225,-17.20424311111111,-6.94025252e-05
1,gpt-4-turbo-2024-04-09,Turkish-san,1-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",çikolata,2.0,-15.467375350000001,-5.21208691e-06,-17.0213891,-5.21208691e-06
1,gpt-4-turbo-2024-04-09,Turkish-san,1A-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-14.88011425,-5.17632588e-06,-17.1785961,-14.88011425
1,gpt-4-turbo-2024-04-09,Turkish-san,1B-TR,1_TR-3/1B,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-9.8309866,-0.31297012616000003,-2.30975266,-2.30975266
1,gpt-4-turbo-2024-04-09,Turkish-san,1C-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-6.457089170000001,-0.0035598146195,-16.5938433,-6.457089170000001
1,gpt-4-turbo-2024-04-09,Turkish-san,1D-TR,1_TR-3,Ezgi torbanın {CEVAP} dolu olduğunu sanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-7.0598957,-0.002005799638,-16.9166495,-7.0598957
1,gpt-4-turbo-2024-04-09,Turkish-san,2-TR,5_TR-3,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",sepetin,2.0,-16.4979306,-2.632305555e-05,-17.385824500000002,-2.632305555e-05
1,gpt-4-turbo-2024-04-09,Turkish-san,2A-TR,5_TR-3/2A,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sandığın",kutunun,1.0,-15.829394099999998,-2.8397199699999998e-05,-17.3246958,-15.829394099999998
1,gpt-4-turbo-2024-04-09,Turkish-san,2B-TR,5_TR-3/2B,Can kedinin {CEVAP} üstünde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-13.178200799999999,-4.74817062e-05,-16.2595179,-13.178200799999999
1,gpt-4-turbo-2024-04-09,Turkish-san,2C-TR,5_TR-3,Can kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-7.2991483850000005,-0.10785911884519998,-16.7249497,-7.2991483850000005
1,gpt-4-turbo-2024-04-09,Turkish-san,2D-TR,5_TR-3/2D,Mehmet kedinin {CEVAP} içinde olduğunu sanıyor.,"kutunun, sepetin",kutunun,1.0,-0.09028960932499999,-4.81729877,-16.981102,-0.09028960932499999
1,gpt-4-turbo-2024-04-09,Turkish-zan,1-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",çikolata,2.0,-15.387054800000001,-4.25845762e-06,-16.9690075,-4.25845762e-06
1,gpt-4-turbo-2024-04-09,Turkish-zan,1A-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-14.3267475,-6.451805e-06,-16.8409725,-14.3267475
1,gpt-4-turbo-2024-04-09,Turkish-zan,1B-TR,1_TR-2/1B,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-8.12268109,-1.058404554,-1.2926075024,-1.2926075024
1,gpt-4-turbo-2024-04-09,Turkish-zan,1C-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-1.1427017866,-1.1144814064,-17.3611008,-1.1427017866
1,gpt-4-turbo-2024-04-09,Turkish-zan,1D-TR,1_TR-2,Ezgi torbanın {CEVAP} dolu olduğunu zannediyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-7.5571083,-0.001532422487,-16.7920691,-7.5571083
1,gpt-4-turbo-2024-04-09,Turkish-zan,2-TR,5_TR-2,Can kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sepetin",sepetin,2.0,-16.034577000000002,-3.12223264e-05,-17.1286415,-3.12223264e-05
1,gpt-4-turbo-2024-04-09,Turkish-zan,2A-TR,5_TR-2/2A,Can kedinin {CEVAP} içinde olduğunu zannediyor.,"kutunun, sandığın",kutunun,1.0,-13.9321325,-3.3379912200000005e-05,-16.7447526,-13.9321325
1,gpt-4-turbo-2024-04-09,Turkish-zan,2B-TR,5_TR-2/2B,Can kedinin {CEVAP} üstünde olduğunu zannediyor.,"kutunun, sepetin",kutunun,1.0,-11.347552199999999,-8.155726590000001e-05,-16.0141989,-11.347552199999999
